No,Type,Name,Level,Region,Formula1,Formula2
1,Two tables,Main Baby Food Producers Performance,Company,Ukraine,"""Volume"", ""Company"", 11, ""VALUEC > 0""","""Value"", ""Company"", 11, ""VALUEC > 0"""
2,Table & Chart,Producers Volume Share: IMF + Dry Food + Puree,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'"
3,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'"
4,Table & Chart,Producers Volume Share: IMF + Dry Food,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
5,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
6,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
7,Two charts 1,Specials / Plus / Base IF / Base FO / Base Gum segments,IMFSegment,Ukraine,"""Volume"", ""IMFSegment"", 9, 'PS0 == ""IMF""'","""Value"", ""IMFSegment"", 9, 'PS0 == ""IMF""'"
8,Two charts 2,Price Segments: IMF,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'","""Value"", ""PriceSegment"", 3, 'PS0 == ""IMF""'"
9,Price Segment,Price segments in absolute volume IMF,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'","""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'"
10,Table & Chart,Producers Volume Share: IMF,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF""'"
11,Table & Chart,Producers Value Share: IMF,Company,Ukraine,"""Value"", ""Company"", 11, 'PS0 == ""IMF""'","""Value"", ""Company"", 11, 'PS0 == ""IMF""'"
12,Table & Chart,Brands Volume Share: IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF""'"
13,Table & Chart,Brands Value Share: IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF""'"
14,Table & Chart,Brands Volume Share: Premium IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'"
15,Table & Chart,Brands Value Share: Premium IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'"
16,Table & Chart,Brands Volume Share: Mainstream IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'"
17,Table & Chart,Brands Value Share: Mainstream IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'"
18,Two charts 2,Price Segments: Base IF,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'"
19,Price Segment,Price segments in absolute volume: Base IF,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'"
20,Table & Chart,Producers Volume Share: Base IF,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
21,Table & Chart,Producers Value Share: Base IF,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
22,Table & Chart,Brands Volume Share: Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
23,Table & Chart,Brands Value Share: Base IF,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
24,Table & Chart,Brands Volume Share: Premium Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'"
25,Table & Chart,Brands Value Share: Premium Base IF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'"
26,Table & Chart,Brands Volume Share: Mainstream Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'"
27,Table & Chart,Brands Value Share: Mainstream Base IF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'"
28,Two charts 1,Price Segments: Base FO,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'"
29,Price Segment,Price segments in absolute volume: Base FO,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'"
30,Table & Chart,Producers Volume Share: Base FO,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
31,Table & Chart,Producers Value Share: Base FO,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
32,Table & Chart,Brands Volume Share: Base FO,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
33,Table & Chart,Brands Value Share: Base FO,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
34,Table & Chart,Brands Volume Share: Premium Base FO,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'"
35,Table & Chart,Brands Value Share: Premium Base FO,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'"
36,Table & Chart,Brands Volume Share: Mainstream Base FO,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Mainstream""'"
37,Table & Chart,Brands Value Share: Mainstream Base FO,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Mainstream""'"
38,Two charts 1,Price Segments: Base Gum,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'"
39,Price Segment,Price segments in absolute volume: Base Gum,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Volume"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'"
40,Table & Chart,Producers Volume Share: Base Gum,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Volume"", ""Company"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'"
41,Table & Chart,Producers Value Share: Base Gum,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Value"", ""Company"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'"
42,Table & Chart,Brands Volume Share: Base Gum,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'"
43,Table & Chart,Brands Value Share: Base Gum,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base""'"
44,Table & Chart,Brands Volume Share: Premium Base Gum,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Premium""'"
45,Table & Chart,Brands Value Share: Premium Base Gum,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Premium""'"
46,Table & Chart,Brands Volume Share: Mainstream Base Gum,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Mainstream""'"
47,Table & Chart,Brands Value Share: Mainstream Base Gum,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS2 == ""Gum"" & PriceSegment == ""Mainstream""'"
48,Table & Chart,Brands Volume Share: Specials,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS3 == ""Specials""'","""Volume"", ""Brand"", 11, 'PS3 == ""Specials""'"
49,Table & Chart,Brands Value Share: Specials,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS3 == ""Specials""'","""Value"", ""Brand"", 11, 'PS3 == ""Specials""'"
50,Table & Chart,Brands Volume Share: Allergy Treatment,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""Allergy Treatment""'","""Volume"", ""Brand"", 11, 'PS == ""Allergy Treatment""'"
51,Table & Chart,Brands Value Share: Allergy Treatment,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""Allergy Treatment""'","""Value"", ""Brand"", 11, 'PS == ""Allergy Treatment""'"
52,Table & Chart,Brands Volume Share: Anti Reflux,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""Anti Reflux""'","""Volume"", ""Brand"", 11, 'PS == ""Anti Reflux""'"
53,Table & Chart,Brands Value Share: Anti Reflux,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""Anti Reflux""'","""Value"", ""Brand"", 11, 'PS == ""Anti Reflux""'"
54,Table & Chart,Brands Volume Share: Diarrhea (Reduced/ No Lactose),Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""DR-NL""'","""Volume"", ""Brand"", 11, 'PS == ""DR-NL""'"
55,Table & Chart,Brands Value Share: Diarrhea (Reduced/ No Lactose),Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""DR-NL""'","""Value"", ""Brand"", 11, 'PS == ""DR-NL""'"
56,Table & Chart,Brands Volume Share: Digestive Comfort,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""Digestive Comfort""'","""Volume"", ""Brand"", 11, 'PS == ""Digestive Comfort""'"
57,Table & Chart,Brands Value Share: Digestive Comfort,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""Digestive Comfort""'","""Value"", ""Brand"", 11, 'PS == ""Digestive Comfort""'"
58,Table & Chart,Brands Volume Share: Hypoallergenic,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""Hypoallergenic""'","""Volume"", ""Brand"", 11, 'PS == ""Hypoallergenic""'"
59,Table & Chart,Brands Value Share: Hypoallergenic,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""Hypoallergenic""'","""Value"", ""Brand"", 11, 'PS == ""Hypoallergenic""'"
60,Table & Chart,Brands Volume Share: Preterm,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS == ""Preterm""'","""Volume"", ""Brand"", 11, 'PS == ""Preterm""'"
61,Table & Chart,Brands Value Share: Preterm,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS == ""Preterm""'","""Value"", ""Brand"", 11, 'PS == ""Preterm""'"
62,Price Segment,Price Segments: Dry Food,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""Gum"" & PS3 == ""Base""'"
63,Table & Chart,Producers Volume Share: Dry Food,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""Dry Food""'","""Volume"", ""Company"", 10, 'PS2 == ""Dry Food""'"
64,Table & Chart,Producers Value Share: Dry Food,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""Dry Food""'","""Value"", ""Company"", 10, 'PS2 == ""Dry Food""'"
65,Table & Chart,Brands Volume Share: Dry Food,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food""'"
66,Table & Chart,Brands Value Share: Dry Food,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food""'"
67,Table & Chart,Brands Volume Share: Premium Dry Food,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Premium""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Premium""'"
68,Table & Chart,Brands Value Share: Premium Dry Food,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Premium""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Premium""'"
69,Table & Chart,Brands Volume Share: Mainstream Dry Food,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Mainstream""'"
70,Table & Chart,Brands Value Share: Mainstream Dry Food,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & PriceSegment == ""Mainstream""'"
71,Two charts 1,Price Segments: Instant Cereals,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS3 == ""Instant Cereals""'","""Value"", ""PriceSegment"", 3, 'PS3 == ""Instant Cereals""'"
72,Price Segment,Price segments in absolute volume: Instant Cereals,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS3 == ""Instant Cereals""'","""Volume"", ""PriceSegment"", 3, 'PS3 == ""Instant Cereals""'"
73,Two charts 3,Milk / Plain Instant Cereals,ICSegment,Ukraine,"""Volume"", ""ICSegment"", 2, 'PS == ""IMC"" | PS == ""IPC""'","""Value"", ""ICSegment"", 2, 'PS == ""IMC"" | PS == ""IPC""'"
74,Table & Chart,Producers Volume Share: Instant Cereals,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS3 == ""Instant Cereals""'","""Volume"", ""Company"", 10, 'PS3 == ""Instant Cereals""'"
75,Table & Chart,Producers Value Share: Instant Cereals,Company,Ukraine,"""Value"", ""Company"", 10, 'PS3 == ""Instant Cereals""'","""Value"", ""Company"", 10, 'PS3 == ""Instant Cereals""'"
76,Table & Chart,Brands Volume Share: Instant Cereals,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals""'"
77,Table & Chart,Brands Value Share: Instant Cereals,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals""'"
78,Table & Chart,Brands Volume Share: Premium Instant Cereals,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Premium""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Premium""'"
79,Table & Chart,Brands Value Share: Premium Instant Cereals,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Premium""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Premium""'"
80,Table & Chart,Brands Volume Share: Mainstream Instant Cereals,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Mainstream""'"
81,Table & Chart,Brands Value Share: Mainstream Instant Cereals,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & PriceSegment == ""Mainstream""'"
82,Price Segment,Price Segments: Cereal Biscuits,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS3 == ""Cereal Biscuits""'","""Value"", ""PriceSegment"", 3, 'PS3 == ""Cereal Biscuits""'"
83,Table & Chart,Producers Volume Share: Cereal Biscuits,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS3 == ""Cereal Biscuits""'","""Volume"", ""Company"", 10, 'PS3 == ""Cereal Biscuits""'"
84,Table & Chart,Producers Value Share: Cereal Biscuits,Company,Ukraine,"""Value"", ""Company"", 10, 'PS3 == ""Cereal Biscuits""'","""Value"", ""Company"", 10, 'PS3 == ""Cereal Biscuits""'"
85,Table & Chart,Brands Volume Share: Cereal Biscuits,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits""'","""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits""'"
86,Table & Chart,Brands Value Share: Cereal Biscuits,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits""'","""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits""'"
87,Table & Chart,Producers Volume Share: Puree,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'","""Volume"", ""Company"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'"
88,Table & Chart,Producers Value Share: Puree,Company,Ukraine,"""Value"", ""Company"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'","""Value"", ""Company"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'"
89,Table & Chart,Brands Volume Share: Puree,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'","""Volume"", ""Brand"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'"
90,Table & Chart,Brands Value Share: Puree,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'","""Value"", ""Brand"", 10, 'PS3 == ""Fruits"" | PS3 == ""Savoury Meal""'"
91,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,Center,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"" & Region == ""Center""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"" & Region == ""Center""'"
92,Table & Chart,Brands Value Share: IMF + Dry Food + Puree,Brand,Center,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"" & Region == ""Center""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"" & Region == ""Center""'"
93,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,Center,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'"
94,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,Center,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'"
95,Two charts 1,Price Segments in absolute  volume,PriceSegmentAbs,Center,"""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'","""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" & Region == ""Center""'"
96,Table & Chart,Brands Volume Share: IMF,Brand,Center,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""Center""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""Center""'"
